ORF	NAME
tX(XXX)D	
tX(XXX)L	
tY(GUA)D	SUP2
tY(GUA)F1	SUP11
tY(GUA)F2	SUP6
tY(GUA)J1	SUP7
tY(GUA)J2	SUP4
tY(GUA)M1	SUP5
tY(GUA)M2	SUP8
tY(GUA)O	SUP3
tY(GUA)Q	
